academic_year,tcas_round_code,tcas_round_name,tcas_status,applicant_status,application_choices,unique_applicants,unique_majors,avg_score
2568,TCAS1,Portfolio,ยืนยันที่อื่นแล้ว,2,170,170,8,0.0
2568,TCAS1,Portfolio,ยืนยันสิทธิ์,2,191,191,8,0.0
2568,TCAS1,Portfolio,สละสิทธิ์,2,1,1,1,0.0
2568,TCAS1,Portfolio,สละสิทธิ์ในรอบ 2,2,8,8,6,0.0
2568,TCAS1,Portfolio,ไม่ผ่านการคัดเลือก,3,988,943,8,0.0
2568,TCAS1,Portfolio,ไม่เข้าระบบมาดำเนินการใดๆ,2,22,22,7,0.0
2568,TCAS1,Portfolio,ไม่ใช้สิทธิ์,2,5,5,4,0.0
2568,TCAS2,Quota,ยืนยันที่อื่นแล้ว,2,17,17,6,0.0
2568,TCAS2,Quota,ยืนยันสิทธิ์,2,112,112,8,0.0
2568,TCAS2,Quota,สละสิทธิ์,2,1,1,1,0.0
2568,TCAS2,Quota,ไม่ผ่านการคัดเลือก,3,372,372,8,0.0
2568,TCAS2,Quota,ไม่เข้าระบบมาดำเนินการใดๆ,2,8,8,5,0.0
2568,TCAS2,Quota,ไม่ใช้สิทธิ์,2,9,9,3,0.0
2568,TCAS3,Admission,ผู้สมัคร,1,400,315,8,36.0732
2568,TCAS3,Admission,ผ่านการคัดเลือกแต่ไม่นำมาประมวลผลรอบที่ 2,2,1,1,1,36.5164
2568,TCAS3,Admission,ผ่านการคัดเลือกในลำดับที่ดีกว่า,3,1097,862,8,41.7484
2568,TCAS3,Admission,ยืนยันสิทธิ์,2,214,214,8,43.8893
2568,TCAS3,Admission,สละสิทธิ์,2,22,22,7,43.5678
2568,TCAS3,Admission,ไม่ผ่านการคัดเลือก,3,971,667,8,35.8852
2568,TCAS3,Admission,ไม่เข้าระบบมาดำเนินการใดๆ,2,4,4,3,42.1066
2568,TCAS3,Admission,ไม่ใช้สิทธิ์,2,2,2,2,41.4512
2568,TCAS4,Direct Admission,ผ่านการคัดเลือก,2,1,1,1,0.0
2568,TCAS4,Direct Admission,ยืนยันที่อื่นแล้ว,2,4,4,2,0.0
2568,TCAS4,Direct Admission,ยืนยันสิทธิ์,2,11,11,2,0.0
2568,TCAS4,Direct Admission,ไม่ผ่านการคัดเลือก,3,220,220,2,0.0
2568,TCAS4,Direct Admission,ไม่ใช้สิทธิ์,2,2,2,1,0.0
2569,TCAS1,Portfolio,ยืนยันที่อื่นแล้ว,2,187,187,8,0.0
2569,TCAS1,Portfolio,ยืนยันสิทธิ์,2,163,163,8,0.0
2569,TCAS1,Portfolio,สละสิทธิ์ในรอบ 2,2,6,6,5,0.0
2569,TCAS1,Portfolio,ไม่ผ่านการคัดเลือก,3,1012,957,8,0.0
2569,TCAS1,Portfolio,ไม่เข้าระบบมาดำเนินการใดๆ,2,9,9,4,0.0
2569,TCAS1,Portfolio,ไม่ใช้สิทธิ์,2,14,14,7,0.0
2569,TCAS2,Quota,ยืนยันที่อื่นแล้ว,2,18,18,6,0.0
2569,TCAS2,Quota,ยืนยันสิทธิ์,2,90,90,8,0.0
2569,TCAS2,Quota,ไม่ผ่านการคัดเลือก,3,490,490,8,0.0
2569,TCAS2,Quota,ไม่เข้าระบบมาดำเนินการใดๆ,2,5,5,3,0.0
2569,TCAS2,Quota,ไม่ใช้สิทธิ์,2,11,11,7,0.0
2569,TCAS3,Admission,ผ่านการคัดเลือกแต่ไม่นำมาประมวลผลรอบที่ 2,2,1,1,1,33.9364
2569,TCAS3,Admission,ผ่านการคัดเลือกในลำดับที่ดีกว่า,3,1191,896,8,39.0883
2569,TCAS3,Admission,ยืนยันสิทธิ์,2,283,283,8,38.071
2569,TCAS3,Admission,สละสิทธิ์,2,26,26,8,37.9223
2569,TCAS3,Admission,ไม่ผ่านการคัดเลือก,3,870,637,7,33.0958
2569,TCAS3,Admission,ไม่เข้าระบบมาดำเนินการใดๆ,2,3,3,3,36.0352
2569,TCAS3,Admission,ไม่ใช้สิทธิ์,2,5,5,4,42.7453
2569,TCAS4,Direct Admission,ยืนยันที่อื่นแล้ว,2,5,5,2,0.0
2569,TCAS4,Direct Admission,ยืนยันสิทธิ์,2,9,9,3,0.0
2569,TCAS4,Direct Admission,ไม่ผ่านการคัดเลือก,3,180,180,3,0.0
2569,TCAS4,Direct Admission,ไม่เข้าระบบมาดำเนินการใดๆ,2,1,1,1,0.0
